id,class,buying,maint,doors,persons,lug_boot,safety
1,unacc,vhigh,vhigh,2,2,small,low
2,unacc,vhigh,vhigh,2,2,small,med
3,unacc,vhigh,vhigh,2,2,small,high
4,unacc,vhigh,vhigh,2,2,med,low
5,unacc,vhigh,vhigh,2,2,med,med
6,unacc,vhigh,vhigh,2,2,med,high
7,unacc,vhigh,vhigh,2,2,big,low
8,unacc,vhigh,vhigh,2,2,big,med
9,unacc,vhigh,vhigh,2,2,big,high
10,unacc,vhigh,vhigh,2,4,small,low
11,unacc,vhigh,vhigh,2,4,small,med
12,unacc,vhigh,vhigh,2,4,small,high
13,unacc,vhigh,vhigh,2,4,med,low
14,unacc,vhigh,vhigh,2,4,med,med
15,unacc,vhigh,vhigh,2,4,med,high
16,unacc,vhigh,vhigh,2,4,big,low
17,unacc,vhigh,vhigh,2,4,big,med
18,unacc,vhigh,vhigh,2,4,big,high
19,unacc,vhigh,vhigh,2,more,small,low
20,unacc,vhigh,vhigh,2,more,small,med
21,unacc,vhigh,vhigh,2,more,small,high
22,unacc,vhigh,vhigh,2,more,med,low
23,unacc,vhigh,vhigh,2,more,med,med
24,unacc,vhigh,vhigh,2,more,med,high
25,unacc,vhigh,vhigh,2,more,big,low
26,unacc,vhigh,vhigh,2,more,big,med
27,unacc,vhigh,vhigh,2,more,big,high
28,unacc,vhigh,vhigh,3,2,small,low
29,unacc,vhigh,vhigh,3,2,small,med
30,unacc,vhigh,vhigh,3,2,small,high
31,unacc,vhigh,vhigh,3,2,med,low
32,unacc,vhigh,vhigh,3,2,med,med
33,unacc,vhigh,vhigh,3,2,med,high
34,unacc,vhigh,vhigh,3,2,big,low
35,unacc,vhigh,vhigh,3,2,big,med
36,unacc,vhigh,vhigh,3,2,big,high
37,unacc,vhigh,vhigh,3,4,small,low
38,unacc,vhigh,vhigh,3,4,small,med
39,unacc,vhigh,vhigh,3,4,small,high
40,unacc,vhigh,vhigh,3,4,med,low
41,unacc,vhigh,vhigh,3,4,med,med
42,unacc,vhigh,vhigh,3,4,med,high
43,unacc,vhigh,vhigh,3,4,big,low
44,unacc,vhigh,vhigh,3,4,big,med
45,unacc,vhigh,vhigh,3,4,big,high
46,unacc,vhigh,vhigh,3,more,small,low
47,unacc,vhigh,vhigh,3,more,small,med
48,unacc,vhigh,vhigh,3,more,small,high
49,unacc,vhigh,vhigh,3,more,med,low
50,unacc,vhigh,vhigh,3,more,med,med
51,unacc,vhigh,vhigh,3,more,med,high
52,unacc,vhigh,vhigh,3,more,big,low
53,unacc,vhigh,vhigh,3,more,big,med
54,unacc,vhigh,vhigh,3,more,big,high
55,unacc,vhigh,vhigh,4,2,small,low
56,unacc,vhigh,vhigh,4,2,small,med
57,unacc,vhigh,vhigh,4,2,small,high
58,unacc,vhigh,vhigh,4,2,med,low
59,unacc,vhigh,vhigh,4,2,med,med
60,unacc,vhigh,vhigh,4,2,med,high
61,unacc,vhigh,vhigh,4,2,big,low
62,unacc,vhigh,vhigh,4,2,big,med
63,unacc,vhigh,vhigh,4,2,big,high
64,unacc,vhigh,vhigh,4,4,small,low
65,unacc,vhigh,vhigh,4,4,small,med
66,unacc,vhigh,vhigh,4,4,small,high
67,unacc,vhigh,vhigh,4,4,med,low
68,unacc,vhigh,vhigh,4,4,med,med
69,unacc,vhigh,vhigh,4,4,med,high
70,unacc,vhigh,vhigh,4,4,big,low
71,unacc,vhigh,vhigh,4,4,big,med
72,unacc,vhigh,vhigh,4,4,big,high
73,unacc,vhigh,vhigh,4,more,small,low
74,unacc,vhigh,vhigh,4,more,small,med
75,unacc,vhigh,vhigh,4,more,small,high
76,unacc,vhigh,vhigh,4,more,med,low
77,unacc,vhigh,vhigh,4,more,med,med
78,unacc,vhigh,vhigh,4,more,med,high
79,unacc,vhigh,vhigh,4,more,big,low
80,unacc,vhigh,vhigh,4,more,big,med
81,unacc,vhigh,vhigh,4,more,big,high
82,unacc,vhigh,vhigh,5more,2,small,low
83,unacc,vhigh,vhigh,5more,2,small,med
84,unacc,vhigh,vhigh,5more,2,small,high
85,unacc,vhigh,vhigh,5more,2,med,low
86,unacc,vhigh,vhigh,5more,2,med,med
87,unacc,vhigh,vhigh,5more,2,med,high
88,unacc,vhigh,vhigh,5more,2,big,low
89,unacc,vhigh,vhigh,5more,2,big,med
90,unacc,vhigh,vhigh,5more,2,big,high
91,unacc,vhigh,vhigh,5more,4,small,low
92,unacc,vhigh,vhigh,5more,4,small,med
93,unacc,vhigh,vhigh,5more,4,small,high
94,unacc,vhigh,vhigh,5more,4,med,low
95,unacc,vhigh,vhigh,5more,4,med,med
96,unacc,vhigh,vhigh,5more,4,med,high
97,unacc,vhigh,vhigh,5more,4,big,low
98,unacc,vhigh,vhigh,5more,4,big,med
99,unacc,vhigh,vhigh,5more,4,big,high
100,unacc,vhigh,vhigh,5more,more,small,low
101,unacc,vhigh,vhigh,5more,more,small,med
102,unacc,vhigh,vhigh,5more,more,small,high
103,unacc,vhigh,vhigh,5more,more,med,low
104,unacc,vhigh,vhigh,5more,more,med,med
105,unacc,vhigh,vhigh,5more,more,med,high
106,unacc,vhigh,vhigh,5more,more,big,low
107,unacc,vhigh,vhigh,5more,more,big,med
108,unacc,vhigh,vhigh,5more,more,big,high
109,unacc,vhigh,high,2,2,small,low
110,unacc,vhigh,high,2,2,small,med
111,unacc,vhigh,high,2,2,small,high
112,unacc,vhigh,high,2,2,med,low
113,unacc,vhigh,high,2,2,med,med
114,unacc,vhigh,high,2,2,med,high
115,unacc,vhigh,high,2,2,big,low
116,unacc,vhigh,high,2,2,big,med
117,unacc,vhigh,high,2,2,big,high
118,unacc,vhigh,high,2,4,small,low
119,unacc,vhigh,high,2,4,small,med
120,unacc,vhigh,high,2,4,small,high
121,unacc,vhigh,high,2,4,med,low
122,unacc,vhigh,high,2,4,med,med
123,unacc,vhigh,high,2,4,med,high
124,unacc,vhigh,high,2,4,big,low
125,unacc,vhigh,high,2,4,big,med
126,unacc,vhigh,high,2,4,big,high
127,unacc,vhigh,high,2,more,small,low
128,unacc,vhigh,high,2,more,small,med
129,unacc,vhigh,high,2,more,small,high
130,unacc,vhigh,high,2,more,med,low
131,unacc,vhigh,high,2,more,med,med
132,unacc,vhigh,high,2,more,med,high
133,unacc,vhigh,high,2,more,big,low
134,unacc,vhigh,high,2,more,big,med
135,unacc,vhigh,high,2,more,big,high
136,unacc,vhigh,high,3,2,small,low
137,unacc,vhigh,high,3,2,small,med
138,unacc,vhigh,high,3,2,small,high
139,unacc,vhigh,high,3,2,med,low
140,unacc,vhigh,high,3,2,med,med
141,unacc,vhigh,high,3,2,med,high
142,unacc,vhigh,high,3,2,big,low
143,unacc,vhigh,high,3,2,big,med
144,unacc,vhigh,high,3,2,big,high
145,unacc,vhigh,high,3,4,small,low
146,unacc,vhigh,high,3,4,small,med
147,unacc,vhigh,high,3,4,small,high
148,unacc,vhigh,high,3,4,med,low
149,unacc,vhigh,high,3,4,med,med
150,unacc,vhigh,high,3,4,med,high
151,unacc,vhigh,high,3,4,big,low
152,unacc,vhigh,high,3,4,big,med
153,unacc,vhigh,high,3,4,big,high
154,unacc,vhigh,high,3,more,small,low
155,unacc,vhigh,high,3,more,small,med
156,unacc,vhigh,high,3,more,small,high
157,unacc,vhigh,high,3,more,med,low
158,unacc,vhigh,high,3,more,med,med
159,unacc,vhigh,high,3,more,med,high
160,unacc,vhigh,high,3,more,big,low
161,unacc,vhigh,high,3,more,big,med
162,unacc,vhigh,high,3,more,big,high
163,unacc,vhigh,high,4,2,small,low
