id,class,buying,maint,doors,persons,lug_boot,safety
1,unacc,vhigh,vhigh,2,2,small,low
3,unacc,vhigh,vhigh,2,2,small,high
5,unacc,vhigh,vhigh,2,2,med,med
6,unacc,vhigh,vhigh,2,2,med,high
7,unacc,vhigh,vhigh,2,2,big,low
8,unacc,vhigh,vhigh,2,2,big,med
11,unacc,vhigh,vhigh,2,4,small,med
14,unacc,vhigh,vhigh,2,4,med,med
17,unacc,vhigh,vhigh,2,4,big,med
18,unacc,vhigh,vhigh,2,4,big,high
19,unacc,vhigh,vhigh,2,more,small,low
20,unacc,vhigh,vhigh,2,more,small,med
21,unacc,vhigh,vhigh,2,more,small,high
22,unacc,vhigh,vhigh,2,more,med,low
23,unacc,vhigh,vhigh,2,more,med,med
25,unacc,vhigh,vhigh,2,more,big,low
26,unacc,vhigh,vhigh,2,more,big,med
27,unacc,vhigh,vhigh,2,more,big,high
28,unacc,vhigh,vhigh,3,2,small,low
29,unacc,vhigh,vhigh,3,2,small,med
30,unacc,vhigh,vhigh,3,2,small,high
31,unacc,vhigh,vhigh,3,2,med,low
32,unacc,vhigh,vhigh,3,2,med,med
34,unacc,vhigh,vhigh,3,2,big,low
37,unacc,vhigh,vhigh,3,4,small,low
38,unacc,vhigh,vhigh,3,4,small,med
39,unacc,vhigh,vhigh,3,4,small,high
41,unacc,vhigh,vhigh,3,4,med,med
42,unacc,vhigh,vhigh,3,4,med,high
43,unacc,vhigh,vhigh,3,4,big,low
44,unacc,vhigh,vhigh,3,4,big,med
45,unacc,vhigh,vhigh,3,4,big,high
46,unacc,vhigh,vhigh,3,more,small,low
47,unacc,vhigh,vhigh,3,more,small,med
50,unacc,vhigh,vhigh,3,more,med,med
51,unacc,vhigh,vhigh,3,more,med,high
52,unacc,vhigh,vhigh,3,more,big,low
55,unacc,vhigh,vhigh,4,2,small,low
56,unacc,vhigh,vhigh,4,2,small,med
57,unacc,vhigh,vhigh,4,2,small,high
58,unacc,vhigh,vhigh,4,2,med,low
59,unacc,vhigh,vhigh,4,2,med,med
61,unacc,vhigh,vhigh,4,2,big,low
62,unacc,vhigh,vhigh,4,2,big,med
63,unacc,vhigh,vhigh,4,2,big,high
64,unacc,vhigh,vhigh,4,4,small,low
65,unacc,vhigh,vhigh,4,4,small,med
67,unacc,vhigh,vhigh,4,4,med,low
68,unacc,vhigh,vhigh,4,4,med,med
69,unacc,vhigh,vhigh,4,4,med,high
72,unacc,vhigh,vhigh,4,4,big,high
73,unacc,vhigh,vhigh,4,more,small,low
74,unacc,vhigh,vhigh,4,more,small,med
75,unacc,vhigh,vhigh,4,more,small,high
76,unacc,vhigh,vhigh,4,more,med,low
78,unacc,vhigh,vhigh,4,more,med,high
79,unacc,vhigh,vhigh,4,more,big,low
80,unacc,vhigh,vhigh,4,more,big,med
81,unacc,vhigh,vhigh,4,more,big,high
82,unacc,vhigh,vhigh,5more,2,small,low
83,unacc,vhigh,vhigh,5more,2,small,med
84,unacc,vhigh,vhigh,5more,2,small,high
85,unacc,vhigh,vhigh,5more,2,med,low
86,unacc,vhigh,vhigh,5more,2,med,med
87,unacc,vhigh,vhigh,5more,2,med,high
88,unacc,vhigh,vhigh,5more,2,big,low
89,unacc,vhigh,vhigh,5more,2,big,med
90,unacc,vhigh,vhigh,5more,2,big,high
91,unacc,vhigh,vhigh,5more,4,small,low
93,unacc,vhigh,vhigh,5more,4,small,high
94,unacc,vhigh,vhigh,5more,4,med,low
