id,class
9588,not_recom
12512,spec_prior
10926,not_recom
10022,spec_prior
8296,spec_prior
5676,not_recom
3449,spec_prior
2122,priority
6156,not_recom
7922,spec_prior
12400,spec_prior
731,priority
11550,not_recom
12344,spec_prior
7653,not_recom
9200,spec_prior
394,priority
10190,spec_prior
10934,spec_prior
10838,spec_prior
4008,not_recom
6034,priority
2654,spec_prior
4238,spec_prior
12438,not_recom
3088,priority
780,not_recom
515,priority
2858,spec_prior
8958,not_recom
12882,not_recom
1398,not_recom
4223,spec_prior
1113,not_recom
9303,not_recom
7504,spec_prior
9061,spec_prior
6249,not_recom
2773,priority
1163,priority
11050,spec_prior
7305,not_recom
8863,priority
1325,priority
10011,not_recom
10797,not_recom
9098,priority
6680,spec_prior
4530,not_recom
7810,spec_prior
7061,spec_prior
7451,spec_prior
7294,priority
8073,not_recom
10127,spec_prior
7408,spec_prior
11578,spec_prior
5162,priority
4772,priority
12547,priority
2821,priority
5335,priority
439,priority
4983,not_recom
3701,spec_prior
4413,not_recom
8083,spec_prior
4373,priority
5031,not_recom
4760,priority
1287,not_recom
11575,spec_prior
4570,very_recom
1320,not_recom
3438,not_recom
9647,spec_prior
2702,spec_prior
7811,spec_prior
2591,priority
11184,not_recom
105,not_recom
1830,not_recom
2569,priority
956,priority
4228,spec_prior
11809,spec_prior
5161,priority
4494,not_recom
9119,spec_prior
8120,spec_prior
12151,priority
5824,priority
639,not_recom
8799,not_recom
5746,priority
6426,not_recom
3515,spec_prior
9138,not_recom
11848,spec_prior
419,priority
9501,not_recom
3767,spec_prior
1281,not_recom
1368,not_recom
5948,priority
1278,not_recom
4953,not_recom
10866,not_recom
11277,not_recom
3057,not_recom
5039,priority
1575,not_recom
12883,spec_prior
11916,not_recom
8496,not_recom
11211,not_recom
10074,not_recom
8792,spec_prior
9281,spec_prior
4390,priority
10822,priority
2611,priority
11287,priority
1513,very_recom
4986,not_recom
6685,spec_prior
8961,not_recom
615,not_recom
385,priority
