id,class,parents,has_nurs,form,children,housing,finance,social,healths
1,recommend,usual,proper,complete,1,convenient,convenient,nonprob,recommended
2,priority,usual,proper,complete,1,convenient,convenient,nonprob,priority
4,recommend,usual,proper,complete,1,convenient,convenient,slightly_prob,recommended
5,priority,usual,proper,complete,1,convenient,convenient,slightly_prob,priority
6,not_recom,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom
7,priority,usual,proper,complete,1,convenient,convenient,problematic,recommended
8,priority,usual,proper,complete,1,convenient,convenient,problematic,priority
10,very_recom,usual,proper,complete,1,convenient,inconv,nonprob,recommended
11,priority,usual,proper,complete,1,convenient,inconv,nonprob,priority
13,very_recom,usual,proper,complete,1,convenient,inconv,slightly_prob,recommended
14,priority,usual,proper,complete,1,convenient,inconv,slightly_prob,priority
15,not_recom,usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom
16,priority,usual,proper,complete,1,convenient,inconv,problematic,recommended
20,priority,usual,proper,complete,1,less_conv,convenient,nonprob,priority
22,very_recom,usual,proper,complete,1,less_conv,convenient,slightly_prob,recommended
24,not_recom,usual,proper,complete,1,less_conv,convenient,slightly_prob,not_recom
25,priority,usual,proper,complete,1,less_conv,convenient,problematic,recommended
26,priority,usual,proper,complete,1,less_conv,convenient,problematic,priority
29,priority,usual,proper,complete,1,less_conv,inconv,nonprob,priority
30,not_recom,usual,proper,complete,1,less_conv,inconv,nonprob,not_recom
31,very_recom,usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended
33,not_recom,usual,proper,complete,1,less_conv,inconv,slightly_prob,not_recom
34,priority,usual,proper,complete,1,less_conv,inconv,problematic,recommended
38,priority,usual,proper,complete,1,critical,convenient,nonprob,priority
39,not_recom,usual,proper,complete,1,critical,convenient,nonprob,not_recom
40,very_recom,usual,proper,complete,1,critical,convenient,slightly_prob,recommended
41,priority,usual,proper,complete,1,critical,convenient,slightly_prob,priority
42,not_recom,usual,proper,complete,1,critical,convenient,slightly_prob,not_recom
43,priority,usual,proper,complete,1,critical,convenient,problematic,recommended
45,not_recom,usual,proper,complete,1,critical,convenient,problematic,not_recom
48,not_recom,usual,proper,complete,1,critical,inconv,nonprob,not_recom
49,very_recom,usual,proper,complete,1,critical,inconv,slightly_prob,recommended
50,priority,usual,proper,complete,1,critical,inconv,slightly_prob,priority
51,not_recom,usual,proper,complete,1,critical,inconv,slightly_prob,not_recom
52,priority,usual,proper,complete,1,critical,inconv,problematic,recommended
53,priority,usual,proper,complete,1,critical,inconv,problematic,priority
56,priority,usual,proper,complete,2,convenient,convenient,nonprob,priority
57,not_recom,usual,proper,complete,2,convenient,convenient,nonprob,not_recom
59,priority,usual,proper,complete,2,convenient,convenient,slightly_prob,priority
60,not_recom,usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom
62,priority,usual,proper,complete,2,convenient,convenient,problematic,priority
63,not_recom,usual,proper,complete,2,convenient,convenient,problematic,not_recom
66,not_recom,usual,proper,complete,2,convenient,inconv,nonprob,not_recom
67,very_recom,usual,proper,complete,2,convenient,inconv,slightly_prob,recommended
68,priority,usual,proper,complete,2,convenient,inconv,slightly_prob,priority
70,priority,usual,proper,complete,2,convenient,inconv,problematic,recommended
73,very_recom,usual,proper,complete,2,less_conv,convenient,nonprob,recommended
74,priority,usual,proper,complete,2,less_conv,convenient,nonprob,priority
76,very_recom,usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended
77,priority,usual,proper,complete,2,less_conv,convenient,slightly_prob,priority
79,priority,usual,proper,complete,2,less_conv,convenient,problematic,recommended
80,priority,usual,proper,complete,2,less_conv,convenient,problematic,priority
82,very_recom,usual,proper,complete,2,less_conv,inconv,nonprob,recommended
83,priority,usual,proper,complete,2,less_conv,inconv,nonprob,priority
84,not_recom,usual,proper,complete,2,less_conv,inconv,nonprob,not_recom
85,very_recom,usual,proper,complete,2,less_conv,inconv,slightly_prob,recommended
86,priority,usual,proper,complete,2,less_conv,inconv,slightly_prob,priority
88,priority,usual,proper,complete,2,less_conv,inconv,problematic,recommended
89,priority,usual,proper,complete,2,less_conv,inconv,problematic,priority
91,priority,usual,proper,complete,2,critical,convenient,nonprob,recommended
92,priority,usual,proper,complete,2,critical,convenient,nonprob,priority
93,not_recom,usual,proper,complete,2,critical,convenient,nonprob,not_recom
94,priority,usual,proper,complete,2,critical,convenient,slightly_prob,recommended
95,priority,usual,proper,complete,2,critical,convenient,slightly_prob,priority
96,not_recom,usual,proper,complete,2,critical,convenient,slightly_prob,not_recom
97,priority,usual,proper,complete,2,critical,convenient,problematic,recommended
98,priority,usual,proper,complete,2,critical,convenient,problematic,priority
99,not_recom,usual,proper,complete,2,critical,convenient,problematic,not_recom
100,priority,usual,proper,complete,2,critical,inconv,nonprob,recommended
